Last Earnings Date,Exp. Next Earnings Date (BBG),Confirmed / Estimated Date (BBG),Sales Result,Sales Result.1,Exp. Next Earnings Date (HC),Confirmed / Estimated Date (HC),Enterprise Value (US$),Market Cap ($US),Unnamed: 9,Unnamed: 10,Unnamed: 11,Price / NAV Consensus,Price / CF,Unnamed: 14,Unnamed: 15,FCF Yield %,Unnamed: 17,Price / Earnings,Unnamed: 19,Unnamed: 20,Net Debt / EBITDA, Debt / Equity,EV / EBITDA,Unnamed: 24,Unnamed: 25,Production guidance Coal (kt),Unnamed: 27,Unnamed: 28,Production Coal consensus (kt),Unnamed: 30,Unnamed: 31,EV/Production Coal ($/t),Unnamed: 33,Unnamed: 34,Attributable Reserves,Attributable M&I Resources,Attributable Total Resources,EV/Metrics Coal ($/t),Unnamed: 39,Unnamed: 40,Cash Costs Reported ($/t),Unnamed: 42,Unnamed: 43,Cash Cost Guidance ($/t),Unnamed: 45,Unnamed: 46,Unnamed: 47,Model (Y/N),Priority?,Stock of Interest,Comment
,,,"Date
(BBG)","Date
(HC)",,,,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2024,FY2025,FY2026,FY2024,,FY2024,FY2025,FY2026,2024Y,2025Y,2026Y,FY2024,FY2025,FY2026,2024Y,2025Y,2026Y,Coal,Coal,Coal,Reserves,M&I,"M,I&I",2021Y,2022Y,2023Y,2024Y,2025Y,2026Y,,,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,SALES_RESULT_DATE,,,,,,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,SP_PE_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SP_TEV_EBITDA_FWD,,,SNL_CONS_PRODUCTION_PROJECTION_HIGH_TONNE,,,,,,,,,SNL_ATTRIBUTABLE_RESV_TONNES,SNL_ATTRIBUTABLE_M_AND_I_RESRC_TONNES,SNL_ATTRIBUTABLE_TOTAL_RESRC_TONNES,,,,SNL_CASH_COST_TONNE,,,SNL_PROJ_CASH_COST_HIGH_TONNE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,FQ0,FH0,,,,SNL_CONS_PRODUCTION_PROJECTION_LOW_TONNE,,,SP_COAL_PRODUCTION_EST,,,,,,MRQ,,,,,,,,,SNL_PROJ_CASH_COST_LOW_TONNE,,,,,,,
,,,,,,,,,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14/03/2025,Estimated,,,Exxaro Resources,EXX SJ Equity,JSE:EXX,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,N,,NO,
,,,,10/12/2024,18/03/2025,Estimated,,,Thungela Resources,TGA SJ Equity,JSE:TGA,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,N,,YES,
,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,25/10/2024,Estimated,,,Peabody Energy,BTU US Equity,NYSE:BTU,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,N,,YES,
,,,,,28/10/2024,Estimated,,,Alliance Resource Partners,CNR US Equity,NASDAQGS:ARLP,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,N,,YES,
,,,,,25/10/2024,Estimated,,,Core Natural Resources,ARCH US Equity,NYSE:CNR,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,N,,YES,
,,,,,01/11/2024,Estimated,,,Warrior Met Coal,HCC US Equity,NYSE:HCC,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,N,,YES,
,,,,,01/11/2024,Estimated,,,Alpha Metallurgical Resources,AMR US Equity,NYSE:AMR,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,N,,YES,
,,,,,07/11/2024,Estimated,,,Ramaco Resources,METC US Equity,NASDAQGS:METC,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,N,,NO,
,,,,,04/11/2024,Estimated,,,Natural Resource Partners ,NRP US Equity,NYSE:NRP,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,N,,YES,
,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30/07/2025,Estimated,,,Bathurst Resources,BRL AU Equity,ASX:BRL,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,N,,NO,
,,,,,20/02/2025,Estimated,,,Coronado Global Resources,CRN AU Equity,ASX:CRN,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,N,,YES,
