Last Earnings Date,Exp. Next Earnings Date (BBG),Confirmed / Estimated Date (BBG),Sales Result,Sales Result.1,Exp. Next Earnings Date (HC),Confirmed / Estimated Date (HC),Enterprise Value (US$),Market Cap ($US),Unnamed: 9,Unnamed: 10,Unnamed: 11,Price / NAV Consensus,Price / CF,Unnamed: 14,Unnamed: 15,FCF Yield %,Unnamed: 17,Price / Earnings,Unnamed: 19,Unnamed: 20,Net Debt / EBITDA, Debt / Equity,EV / EBITDA,Unnamed: 24,Unnamed: 25,Dividend Yield %,Unnamed: 27,Model (Y/N),Priority?,Stock of Interest,Comment
,,,"Date
(BBG)","Date
(HC)",,,,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2024,FY2025,FY2026,FY2024,,FY2024,FY2025,FY2026,,,,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,SALES_RESULT_DATE,,,,,,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,SP_PE_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SP_TEV_EBITDA_FWD,,,SP_DIV_YIELD,,,,,
,,,,,,,,,,,,,,,,,,,,,FQ0,FH0,,,,,,,,,
,,,,,,,,,DIVERSIFIEDS,,,,,,,,,,,,,,,,,,,,,,
#PEND,,,,28/08/2025,Confirmed,21/07/2025,#PEND,#PEND,South32,S32 AU Equity,ASX:S32,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,#PEND,,N,,YES,
#PEND,,,,28/08/2025,Confirmed,30/04/2025,#PEND,#PEND,IGO,IGO AU Equity,ASX:IGO,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,#PEND,,N,,YES,
#PEND,,,,13/05/2025,Confirmed,,#PEND,#PEND,Sherritt,S CN Equity,TSX:S,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,#PEND,,N,,NO,
#PEND,,,,27/08/2025,Estimated,29/04/2025,#PEND,#PEND,Nickel Industries,NIC AU Equity,ASX:NIC,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,#PEND,,N,,YES,
#PEND,,,,18/07/2025,Confirmed,,#PEND,#PEND,Boliden,BOL SS Equity,OM:BOL,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,#PEND,,N,,YES,
#PEND,,,,10/09/2025,Estimated,,#PEND,#PEND,Adriatic Metals,ADT AU Equity,ASX:ADT,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,#PEND,,Y,,YES,
#PEND,,,,21/08/2025,Estimated,,#PEND,#PEND,Iluka Resources,ILU AU Equity,ASX:ILU,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,#PEND,,N,,NO,
#PEND,,,,08/05/2025,Confirmed,,#PEND,#PEND,MP Materials Corp,MP US Equity,NYSE:MP,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,#PEND,,N,,NO,
#PEND,,,,30/07/2025,Confirmed,30/10/2025,#PEND,#PEND,Eramet,ERA FP Equity,ENXTPA:ERA,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,#PEND,,N,,NO,
#PEND,,,,28/08/2025,Estimated,28/04/2025,#PEND,#PEND,Lynas Rare Earths,LYC AU Equity,ASX:LYC,,#PEND,#PEND,#PEND,,,#PEND,#PEND,#PEND,,#PEND,#PEND,#PEND,#PEND,#PEND,,N,,NO,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,
