Last Earnings Date,Exp. Next Earnings Date (BBG),Confirmed / Estimated Date (BBG),Sales Result,Exp. Next Earnings Date (HC),Confirmed / Estimated Date (HC),Sales Result.1,Enterprise Value (US$),Market Cap ($US),Unnamed: 9,Unnamed: 10,Unnamed: 11,Price / NAV Consensus,Price / CF,Unnamed: 14,Unnamed: 15,FCF Yield %,Unnamed: 17,Unnamed: 18,Price / Earnings,Unnamed: 20,Unnamed: 21,Net Debt / EBITDA, Debt / Equity,Production guidance Cu (kt),Unnamed: 25,Unnamed: 26,Consensus,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Production Cu equ consensus (kt),Unnamed: 37,Unnamed: 38,EV/Production Cu equ ($/kt),Unnamed: 40,Unnamed: 41,Attributable Reserves,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Attributable M&I Resources,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Attributable Total Resources,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Cu equ resources,Unnamed: 61,Unnamed: 62,EV/Metrics Cu equ ($/t),Unnamed: 64,Unnamed: 65,EV / EBITDA,Unnamed: 67,Unnamed: 68,Cash Costs Reported ($/lb),Unnamed: 70,Unnamed: 71,Cash Cost Guidance ($/lb),Unnamed: 73,Unnamed: 74,Unnamed: 75,Model (Y/N),Stock of Interest
,,,"Date
(BBG)",,,"Date
(HC)",,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2025,,2024Y,2025Y,2026Y,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,2024Y,2025Y,2026Y,2024Y,2025Y,2026Y,Gold,Silver,Copper,Zinc,Lead,Nickel,Gold,Silver,Copper,Zinc,Lead,Nickel,Gold,Silver,Copper,Zinc,Lead,Nickel,Reserves,M&I,"M,I&I",Reserves,M&I,"M,I&I",FY2024,FY2025,FY2026,2021Y,2022Y,2023Y,2024Y,2025Y,2026Y,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,SALES_RESULT_DATE,,,,,2026-02-19 00:00:00,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,,SP_PE_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SNL_CONS_PRODUCTION_PROJECTION_HIGH_TONNE,,,,,,,,,,,,,,,,,,SNL_ATTRIBUTABLE_RESV_OZ,,,SNL_ATTRIBUTABLE_RESV_TONNES,,,SNL_ATTRIBUTABLE_M_AND_I_RESRC_OZ,,,SNL_ATTRIBUTABLE_M_AND_I_RESRC_TONNES,,,SNL_ATTRIBUTABLE_TOTAL_RESRC_OZ,,,SNL_ATTRIBUTABLE_TOTAL_RESRC_TONNES,,,,,,,,,SP_TEV_EBITDA_FWD,,,SNL_CASH_COST_LB,,,SNL_PROJ_CASH_COST_HIGH_LB,,,,,
,,,,,,,,,,,,,,,,,,,,,,FQ0,FH0,SNL_CONS_PRODUCTION_PROJECTION_LOW_TONNE,,,SP_GOLD_PRODUCTION_EST,,,SP_SILVER_PRODUCTION_EST,,,SP_COPPER_PRODUCTION_EST,,,,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNL_PROJ_CASH_COST_LOW_LB,,,,,
,,,,,,,,,Senior Producers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PEND,,,,14/08/2025,Confirmed,16/07/2025,#PEND,#PEND,Antofagasta,ANTO LN Equity,LSE:ANTO,,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,#PEND,,,,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,,,,,Y,YES
#PEND,,,,23/07/2025,Estimated,,#PEND,#PEND,First Quantum,FM CN Equity,TSX:FM,,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,#PEND,,,,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,,,,,N,YES
#PEND,,,,23/07/2025,Estimated,,#PEND,#PEND,Freeport McMoRan,FCX US Equity,NYSE:FCX,,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,#PEND,,,,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,,,,,N,YES
#PEND,,,,18/07/2025,Estimated,,#PEND,#PEND,Southern Copper,SCCO US Equity,NYSE:SCCO,,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,#PEND,,,,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,,,,,N,YES
#PEND,,,,24/07/2025,Tentative,,#PEND,#PEND,Teck Resources,TECK/B CN Equity,TSX:TECK.B,,#PEND,#PEND,#PEND,,,,#PEND,#PEND,#PEND,,#PEND,,,,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,,,,,N,YES
,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
